"indicator","index.rate","target","points","max","percent.points","state.avg","school_code","year"
"Accountability Index ","","",471.7,800,59,"","0154011","201415"
"ELA Performance index: All Students ","51.5 ","75 ",34.3,50,68.7,"67.7","0154011","201516"
"ELA Performance index: High Needs Students ","51.5 ","75 ",34.3,50,68.7,"56.7","0154011","201516"
"Math Performance index: All Students ","40.8 ","75 ",27.2,50,54.4,"61.4","0154011","201516"
"Math Performance index: High Needs Students ","40.8 ","75 ",27.2,50,54.4,"49.9","0154011","201516"
"Science Performance index: All Students ","42.0 ","75 ",28,50,56,"57.5","0154011","201516"
"Science Performance index: High Needs Students ","42.0 ","75 ",28,50,56,"47.0","0154011","201516"
"ELA Academic growth: ELA Performance index: All Students ","56.3% ","100% ",56.3,100,56.3,"63.8%","0154011","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","56.3% ","100% ",56.3,100,56.3,"58.3%","0154011","201516"
"Math Academic growth: Math Performance index: All Students ","52.3% ","100% ",52.3,100,52.3,"65.0%","0154011","201516"
"Math Academic growth: Math Performance index: High Needs Students ","52.3% ","100% ",52.3,100,52.3,"57.4%","0154011","201516"
"Chronic absenteeism: Science Performance index: All Students ","12.3% ","<=5% ",35.3,50,70.6,"9.6%","0154011","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","12.3% ","<=5% ",35.3,50,70.6,"15.6%","0154011","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0154011","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0154011","201516"
"On-track to High School Graduation ","96.1% ","94% ",50,50,100,"85.1%","0154011","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0154011","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0154011","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0154011","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","93.3% | 68.2% ","75% ",45.5,50,91,"89.2% | 50.5%","0154011","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0154011","201516"
"ELA: All Students ","51.1 ","75 ",68.1,100,68.1,"67.9","0154111","201415"
"ELA: High Needs Students ","51.1 ","75 ",68.1,100,68.1,"56.7","0154111","201415"
"Math: All Students ","40.2 ","75 ",53.6,100,53.6,"59.3","0154111","201415"
"Math: High Needs Students ","40.2 ","75 ",53.6,100,53.6,"47.8","0154111","201415"
"Science: All Students ","36.3 ","75 ",48.4,100,48.4,"56.5","0154111","201415"
"Science: High Needs Students ","36.3 ","75 ",48.4,100,48.4,"45.9","0154111","201415"
"Chronic absenteeism: All Students ","28.7% ","<=5% ",2.6,50,5.2,"10.6%","0154111","201415"
"Chronic absenteeism: High Needs Students ","28.7% ","<=5% ",2.6,50,5.2,"17.3%","0154111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0154111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0154111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","94.9% | 57.4% ","75% ",38.3,50,76.6,"87.6% | 51.0%","0154111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0154111","201415"
"Accountability Index ","","",423.7,800,53,"","0154111","201415"
"ELA Performance index: All Students ","46.1 ","75 ",30.8,50,61.5,"67.7","0154111","201516"
"ELA Performance index: High Needs Students ","46.1 ","75 ",30.8,50,61.5,"56.7","0154111","201516"
"Math Performance index: All Students ","35.5 ","75 ",23.7,50,47.3,"61.4","0154111","201516"
"Math Performance index: High Needs Students ","35.5 ","75 ",23.7,50,47.3,"49.9","0154111","201516"
"Science Performance index: All Students ","39.6 ","75 ",26.4,50,52.8,"57.5","0154111","201516"
"Science Performance index: High Needs Students ","39.6 ","75 ",26.4,50,52.8,"47.0","0154111","201516"
"ELA Academic growth: ELA Performance index: All Students ","36.8% ","100% ",36.8,100,36.8,"63.8%","0154111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","36.8% ","100% ",36.8,100,36.8,"58.3%","0154111","201516"
"Math Academic growth: Math Performance index: All Students ","26.5% ","100% ",26.5,100,26.5,"65.0%","0154111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","26.5% ","100% ",26.5,100,26.5,"57.4%","0154111","201516"
"Chronic absenteeism: Science Performance index: All Students ","26.6% ","<=5% ",6.9,50,13.7,"9.6%","0154111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","26.6% ","<=5% ",6.9,50,13.7,"15.6%","0154111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0154111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0154111","201516"
"On-track to High School Graduation ","65.8% ","94% ",35,50,70,"85.1%","0154111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0154111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0154111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0154111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 51.9% ","75% ",34.6,50,69.1,"89.2% | 50.5%","0154111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0154111","201516"
"ELA: All Students ","48.9 ","75 ",65.2,100,65.2,"67.9","0154211","201415"
"ELA: High Needs Students ","48.9 ","75 ",65.2,100,65.2,"56.7","0154211","201415"
"Math: All Students ","39.4 ","75 ",52.5,100,52.5,"59.3","0154211","201415"
"Math: High Needs Students ","39.4 ","75 ",52.5,100,52.5,"47.8","0154211","201415"
"Science: All Students ","37.5 ","75 ",50,100,50,"56.5","0154211","201415"
"Science: High Needs Students ","37.5 ","75 ",50,100,50,"45.9","0154211","201415"
"Chronic absenteeism: All Students ","27.0% ","<=5% ",6,50,11.9,"10.6%","0154211","201415"
"Chronic absenteeism: High Needs Students ","27.0% ","<=5% ",6,50,11.9,"17.3%","0154211","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0154211","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0154211","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.7% | 59.3% ","75% ",39.5,50,79.1,"87.6% | 51.0%","0154211","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0154211","201415"
"Accountability Index ","","",424.9,800,53.1,"","0154211","201415"
"ELA Performance index: All Students ","47.0 ","75 ",31.3,50,62.7,"67.7","0154211","201516"
"ELA Performance index: High Needs Students ","47.0 ","75 ",31.3,50,62.7,"56.7","0154211","201516"
"Math Performance index: All Students ","37.1 ","75 ",24.8,50,49.5,"61.4","0154211","201516"
"Math Performance index: High Needs Students ","37.1 ","75 ",24.8,50,49.5,"49.9","0154211","201516"
"Science Performance index: All Students ","37.9 ","75 ",25.3,50,50.5,"57.5","0154211","201516"
"Science Performance index: High Needs Students ","37.9 ","75 ",25.3,50,50.5,"47.0","0154211","201516"
"ELA Academic growth: ELA Performance index: All Students ","51.7% ","100% ",51.7,100,51.7,"63.8%","0154211","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","51.7% ","100% ",51.7,100,51.7,"58.3%","0154211","201516"
"Math Academic growth: Math Performance index: All Students ","46.8% ","100% ",46.8,100,46.8,"65.0%","0154211","201516"
"Math Academic growth: Math Performance index: High Needs Students ","46.8% ","100% ",46.8,100,46.8,"57.4%","0154211","201516"
"Chronic absenteeism: Science Performance index: All Students ","19.7% ","<=5% ",20.5,50,41,"9.6%","0154211","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","19.7% ","<=5% ",20.5,50,41,"15.6%","0154211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0154211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0154211","201516"
"On-track to High School Graduation ","81.2% ","94% ",43.2,50,86.4,"85.1%","0154211","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0154211","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0154211","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0154211","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.0% | 60.0% ","75% ",40,50,80,"89.2% | 50.5%","0154211","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0154211","201516"
"ELA: All Students ","N/A ","75 ",0,0,0,"67.9","0154411","201415"
"ELA: High Needs Students ","N/A ","75 ",0,0,0,"56.7","0154411","201415"
"Math: All Students ","N/A ","75 ",0,0,0,"59.3","0154411","201415"
"Math: High Needs Students ","N/A ","75 ",0,0,0,"47.8","0154411","201415"
"Science: All Students ","N/A ","75 ",0,0,0,"56.5","0154411","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0154411","201415"
"Chronic absenteeism: All Students ","N/A ","<=5% ",0,0,0,"10.6%","0154411","201415"
"Chronic absenteeism: High Needs Students ","N/A ","<=5% ",0,0,0,"17.3%","0154411","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0154411","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0154411","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","N/A | N/A ","75% ",0,0,0,"87.6% | 51.0%","0154411","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0154411","201415"
"Accountability Index ","","",0,0,0,"","0154411","201415"
"ELA Performance index: All Students ","N/A ","75 ",0,0,0,"67.7","0154411","201516"
"ELA Performance index: High Needs Students ","N/A ","75 ",0,0,0,"56.7","0154411","201516"
"Math Performance index: All Students ","N/A ","75 ",0,0,0,"61.4","0154411","201516"
"Math Performance index: High Needs Students ","N/A ","75 ",0,0,0,"49.9","0154411","201516"
"Science Performance index: All Students ","N/A ","75 ",0,0,0,"57.5","0154411","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0154411","201516"
"ELA Academic growth: ELA Performance index: All Students ","N/A ","100% ",0,0,0,"63.8%","0154411","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0154411","201516"
"Math Academic growth: Math Performance index: All Students ","N/A ","100% ",0,0,0,"65.0%","0154411","201516"
"Math Academic growth: Math Performance index: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0154411","201516"
"Chronic absenteeism: Science Performance index: All Students ","N/A ","<=5% ",0,0,0,"9.6%","0154411","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","N/A ","<=5% ",0,0,0,"15.6%","0154411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0154411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0154411","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0154411","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0154411","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0154411","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0154411","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","N/A | N/A ","75% ",0,0,0,"89.2% | 50.5%","0154411","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0154411","201516"
"ELA: All Students ","68.7 ","75 ",91.6,100,91.6,"67.9","0154511","201415"
"ELA: High Needs Students ","68.7 ","75 ",91.6,100,91.6,"56.7","0154511","201415"
"Math: All Students ","54.9 ","75 ",73.3,100,73.3,"59.3","0154511","201415"
"Math: High Needs Students ","54.9 ","75 ",73.3,100,73.3,"47.8","0154511","201415"
"Science: All Students ","53.1 ","75 ",70.8,100,70.8,"56.5","0154511","201415"
"Science: High Needs Students ","53.1 ","75 ",70.8,100,70.8,"45.9","0154511","201415"
"Chronic absenteeism: All Students ","3.9% ","<=5% ",50,50,100,"10.6%","0154511","201415"
"Chronic absenteeism: High Needs Students ","3.9% ","<=5% ",50,50,100,"17.3%","0154511","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0154511","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0154511","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.8% | 25.2% ","75% ",16.8,50,33.6,"87.6% | 51.0%","0154511","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0154511","201415"
"Accountability Index ","","",638.2,800,79.8,"","0154511","201415"
"ELA Performance index: All Students ","68.0 ","75 ",45.4,50,90.7,"67.7","0154511","201516"
"ELA Performance index: High Needs Students ","68.0 ","75 ",45.4,50,90.7,"56.7","0154511","201516"
"Math Performance index: All Students ","52.8 ","75 ",35.2,50,70.4,"61.4","0154511","201516"
"Math Performance index: High Needs Students ","52.8 ","75 ",35.2,50,70.4,"49.9","0154511","201516"
"Science Performance index: All Students ","51.5 ","75 ",34.4,50,68.7,"57.5","0154511","201516"
"Science Performance index: High Needs Students ","51.5 ","75 ",34.4,50,68.7,"47.0","0154511","201516"
"ELA Academic growth: ELA Performance index: All Students ","60.1% ","100% ",60.1,100,60.1,"63.8%","0154511","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","60.1% ","100% ",60.1,100,60.1,"58.3%","0154511","201516"
"Math Academic growth: Math Performance index: All Students ","44.5% ","100% ",44.5,100,44.5,"65.0%","0154511","201516"
"Math Academic growth: Math Performance index: High Needs Students ","44.5% ","100% ",44.5,100,44.5,"57.4%","0154511","201516"
"Chronic absenteeism: Science Performance index: All Students ","2.9% ","<=5% ",50,50,100,"9.6%","0154511","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","2.9% ","<=5% ",50,50,100,"15.6%","0154511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0154511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0154511","201516"
"On-track to High School Graduation ","92.5% ","94% ",49.2,50,98.4,"85.1%","0154511","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0154511","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0154511","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0154511","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","93.4% | 35.2% ","75% ",23.4,50,46.9,"89.2% | 50.5%","0154511","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0154511","201516"
"ELA: All Students ","74.3 ","75 ",99,100,99,"67.9","0154611","201415"
"ELA: High Needs Students ","74.3 ","75 ",99,100,99,"56.7","0154611","201415"
"Math: All Students ","62.3 ","75 ",83,100,83,"59.3","0154611","201415"
"Math: High Needs Students ","62.3 ","75 ",83,100,83,"47.8","0154611","201415"
"Science: All Students ","56.5 ","75 ",75.4,100,75.4,"56.5","0154611","201415"
"Science: High Needs Students ","56.5 ","75 ",75.4,100,75.4,"45.9","0154611","201415"
"Chronic absenteeism: All Students ","1.1% ","<=5% ",50,50,100,"10.6%","0154611","201415"
"Chronic absenteeism: High Needs Students ","1.1% ","<=5% ",50,50,100,"17.3%","0154611","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0154611","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0154611","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","89.9% | 28.9% ","75% ",9.6,50,19.2,"87.6% | 51.0%","0154611","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0154611","201415"
"Accountability Index ","","",672.6,800,84.1,"","0154611","201415"
"ELA Performance index: All Students ","72.5 ","75 ",48.3,50,96.7,"67.7","0154611","201516"
"ELA Performance index: High Needs Students ","72.5 ","75 ",48.3,50,96.7,"56.7","0154611","201516"
"Math Performance index: All Students ","65.0 ","75 ",43.3,50,86.6,"61.4","0154611","201516"
"Math Performance index: High Needs Students ","65.0 ","75 ",43.3,50,86.6,"49.9","0154611","201516"
"Science Performance index: All Students ","57.4 ","75 ",38.3,50,76.6,"57.5","0154611","201516"
"Science Performance index: High Needs Students ","57.4 ","75 ",38.3,50,76.6,"47.0","0154611","201516"
"ELA Academic growth: ELA Performance index: All Students ","61.0% ","100% ",61,100,61,"63.8%","0154611","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","61.0% ","100% ",61,100,61,"58.3%","0154611","201516"
"Math Academic growth: Math Performance index: All Students ","68.5% ","100% ",68.5,100,68.5,"65.0%","0154611","201516"
"Math Academic growth: Math Performance index: High Needs Students ","68.5% ","100% ",68.5,100,68.5,"57.4%","0154611","201516"
"Chronic absenteeism: Science Performance index: All Students ","1.1% ","<=5% ",50,50,100,"9.6%","0154611","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","1.1% ","<=5% ",50,50,100,"15.6%","0154611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0154611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0154611","201516"
"On-track to High School Graduation ","84.2% ","94% ",44.8,50,89.6,"85.1%","0154611","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0154611","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0154611","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0154611","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","88.9% | 25.0% ","75% ",8.3,50,16.7,"89.2% | 50.5%","0154611","201516"
