"category","ela.count","ela.spi","math.count","math.spi","sci.count","sci.spi","school_code","year"
"Eligible for Free or Reduced-Price Meals ","174 ","52.9 ","174 ","43.1 ","47 ","39.3","0150411","201516"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150411","201516"
"Students with Disabilities ","31 ","38.6 ","31 ","30.8 ","8 ","*","0150411","201516"
"Students without Disabilities ","143 ","56.0 ","143 ","45.8 ","39 ","41.8","0150411","201516"
"High Needs ","174 ","52.9 ","174 ","43.1 ","47 ","39.3","0150411","201516"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150411","201516"
"School ","174 ","52.9 ","174 ","43.1 ","47 ","39.3","0150411","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150511","201415"
"Asian ","* ","* ","* ","* ","* ","*","0150511","201415"
"Black or African American ","140 ","45.9 ","140 ","35.9 ","49 ","33.0","0150511","201415"
"Hispanic or Latino ","212 ","47.2 ","212 ","34.8 ","68 ","33.7","0150511","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150511","201415"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150511","201415"
"White ","* ","* ","* ","* ","* ","*","0150511","201415"
"English Language Learners ","93 ","43.1 ","93 ","31.7 ","39 ","31.4","0150511","201415"
"Non-English Language Learners ","285 ","48.5 ","285 ","37.1 ","90 ","34.4","0150511","201415"
"Eligible for Free or Reduced-Price Meals ","378 ","47.2 ","378 ","35.8 ","129 ","33.5","0150511","201415"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150511","201415"
"Students with Disabilities ","39 ","34.7 ","39 ","27.6 ","13 ","*","0150511","201415"
"Students without Disabilities ","339 ","48.6 ","339 ","36.7 ","116 ","34.0","0150511","201415"
"High Needs ","378 ","47.2 ","378 ","35.8 ","129 ","33.5","0150511","201415"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150511","201415"
"School ","378 ","47.2 ","378 ","35.8 ","129 ","33.5","0150511","201415"
"Asian ","* ","* ","* ","* ","0","N/A","0150511","201516"
"Black or African American ","150 ","48.3 ","150 ","37.8 ","40","36.2","0150511","201516"
"Hispanic or Latino ","246 ","50.0 ","246 ","39.0 ","74","35.8","0150511","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0150511","201516"
"Two or More Races ","* ","* ","* ","* ","0","N/A","0150511","201516"
"White ","23 ","56.3 ","23 ","46.1 ","7","*","0150511","201516"
"English Language Learners ","81 ","44.8 ","81 ","35.5 ","23","32.6","0150511","201516"
"Non-English Language Learners ","340 ","50.9 ","340 ","39.9 ","98","37.1","0150511","201516"
"Eligible for Free or Reduced-Price Meals ","421 ","49.8 ","421 ","39.0 ","121","36.3","0150511","201516"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0","N/A","0150511","201516"
"Students with Disabilities ","48 ","39.1 ","48 ","24.3 ","17","*","0150511","201516"
"Students without Disabilities ","373 ","51.1 ","373 ","40.9 ","104","38.0","0150511","201516"
"High Needs ","421 ","49.8 ","421 ","39.0 ","121","36.3","0150511","201516"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0","N/A","0150511","201516"
"School ","421 ","49.8 ","421 ","39.0 ","121","36.3","0150511","201516"
"American Indian or Alaska Native ","0 ","* ","0 ","* ","* ","*","0150611","201415"
"Asian ","0 ","* ","0 ","* ","* ","*","0150611","201415"
"Black or African American ","10 ","* ","6 ","* ","46 ","45.6","0150611","201415"
"Hispanic or Latino ","7 ","* ","6 ","* ","55 ","44.8","0150611","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150611","201415"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150611","201415"
"White ","* ","* ","* ","* ","34 ","53.9","0150611","201415"
"English Language Learners ","* ","* ","* ","* ","8 ","*","0150611","201415"
"Non-English Language Learners ","* ","* ","* ","* ","129 ","48.0","0150611","201415"
"Eligible for Free or Reduced-Price Meals ","22 ","35.7 ","15 ","* ","137 ","47.3","0150611","201415"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150611","201415"
"Students with Disabilities ","* ","* ","* ","* ","16 ","*","0150611","201415"
"Students without Disabilities ","* ","* ","* ","* ","121 ","48.5","0150611","201415"
"High Needs ","22 ","35.7 ","15 ","* ","137 ","47.3","0150611","201415"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150611","201415"
"School ","22 ","35.7 ","15 ","* ","137 ","47.3","0150611","201415"
"Asian ","* ","* ","* ","* ","9","*","0150611","201516"
"Black or African American ","49 ","46.8 ","49 ","42.9 ","31","37.7","0150611","201516"
"Hispanic or Latino ","50 ","44.9 ","50 ","43.0 ","45","44.1","0150611","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0150611","201516"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0","N/A","0150611","201516"
"White ","* ","* ","* ","* ","35","51.6","0150611","201516"
"English Language Learners ","7 ","* ","7 ","* ","7","*","0150611","201516"
"Non-English Language Learners ","126 ","48.3 ","126 ","44.8 ","113","46.7","0150611","201516"
"Eligible for Free or Reduced-Price Meals ","133 ","47.6 ","133 ","44.0 ","120","45.4","0150611","201516"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0","N/A","0150611","201516"
"Students with Disabilities ","11 ","* ","11 ","* ","14","*","0150611","201516"
"Students without Disabilities ","122 ","48.1 ","122 ","44.9 ","106","47.0","0150611","201516"
"High Needs ","133 ","47.6 ","133 ","44.0 ","120","45.4","0150611","201516"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0","N/A","0150611","201516"
"School ","133 ","47.6 ","133 ","44.0 ","120","45.4","0150611","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150711","201415"
"Asian ","* ","* ","* ","* ","* ","*","0150711","201415"
"Black or African American ","63 ","54.4 ","63 ","41.5 ","12 ","*","0150711","201415"
"Hispanic or Latino ","49 ","54.9 ","49 ","41.3 ","* ","*","0150711","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150711","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0150711","201415"
"White ","10 ","* ","10 ","* ","* ","*","0150711","201415"
"English Language Learners ","* ","* ","* ","* ","0 ","*","0150711","201415"
"Non-English Language Learners ","* ","* ","* ","* ","21 ","35.4","0150711","201415"
"Eligible for Free or Reduced-Price Meals ","127 ","54.7 ","127 ","41.2 ","21 ","35.4","0150711","201415"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150711","201415"
"Students with Disabilities ","31 ","36.0 ","31 ","26.0 ","* ","*","0150711","201415"
"Students without Disabilities ","96 ","60.7 ","96 ","46.1 ","* ","*","0150711","201415"
"High Needs ","127 ","54.7 ","127 ","41.2 ","21 ","35.4","0150711","201415"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150711","201415"
"School ","127 ","54.7 ","127 ","41.2 ","21 ","35.4","0150711","201415"
"Asian ","* ","* ","* ","* ","0 ","N/A","0150711","201516"
"Black or African American ","66 ","53.5 ","66 ","41.0 ","15 ","*","0150711","201516"
"Hispanic or Latino ","51 ","56.5 ","51 ","43.2 ","* ","*","0150711","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150711","201516"
"Two or More Races ","* ","* ","* ","* ","0 ","N/A","0150711","201516"
"White ","13 ","* ","13 ","* ","* ","*","0150711","201516"
"English Language Learners ","6 ","* ","6 ","* ","0 ","N/A","0150711","201516"
"Non-English Language Learners ","131 ","54.4 ","131 ","41.9 ","31 ","39.6","0150711","201516"
"Eligible for Free or Reduced-Price Meals ","137 ","54.8 ","137 ","42.3 ","31 ","39.6","0150711","201516"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150711","201516"
"Students with Disabilities ","30 ","38.5 ","30 ","29.1 ","8 ","*","0150711","201516"
"Students without Disabilities ","107 ","59.3 ","107 ","45.9 ","23 ","47.0","0150711","201516"
"High Needs ","137 ","54.8 ","137 ","42.3 ","31 ","39.6","0150711","201516"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150711","201516"
"School ","137 ","54.8 ","137 ","42.3 ","31 ","39.6","0150711","201516"
"American Indian or Alaska Native ","0 ","* ","0 ","* ","0 ","*","0150811","201415"
"Asian ","* ","* ","* ","* ","6 ","*","0150811","201415"
"Black or African American ","15 ","* ","10 ","* ","51 ","46.7","0150811","201415"
"Hispanic or Latino ","10 ","* ","10 ","* ","38 ","46.3","0150811","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150811","201415"
"Two or More Races ","* ","* ","0 ","* ","* ","*","0150811","201415"
"White ","17 ","* ","16 ","* ","30 ","62.5","0150811","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","0150811","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0150811","201415"
"Eligible for Free or Reduced-Price Meals ","45 ","44.0 ","38 ","42.6 ","126 ","51.1","0150811","201415"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150811","201415"
"Students with Disabilities ","8 ","* ","* ","* ","7 ","*","0150811","201415"
"Students without Disabilities ","37 ","48.0 ","* ","* ","119 ","52.2","0150811","201415"
"High Needs ","45 ","44.0 ","38 ","42.6 ","126 ","51.1","0150811","201415"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150811","201415"
"School ","45 ","44.0 ","38 ","42.6 ","126 ","51.1","0150811","201415"
"Asian ","* ","* ","* ","* ","7 ","*","0150811","201516"
"Black or African American ","51 ","48.2 ","51 ","49.5 ","36 ","51.6","0150811","201516"
"Hispanic or Latino ","41 ","49.7 ","41 ","48.8 ","28 ","49.3","0150811","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150811","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0150811","201516"
"White ","31 ","55.5 ","31 ","55.8 ","52 ","70.1","0150811","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","0150811","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0150811","201516"
"Eligible for Free or Reduced-Price Meals ","130 ","51.0 ","130 ","51.9 ","125 ","59.8","0150811","201516"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150811","201516"
"Students with Disabilities ","11 ","* ","11 ","* ","10 ","*","0150811","201516"
"Students without Disabilities ","119 ","52.0 ","119 ","53.2 ","115 ","60.8","0150811","201516"
"High Needs ","130 ","51.0 ","130 ","51.9 ","125 ","59.8","0150811","201516"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150811","201516"
"School ","130 ","51.0 ","130 ","51.9 ","125 ","59.8","0150811","201516"
"American Indian or Alaska Native ","0 ","* ","0 ","* ","0 ","*","0151011","201415"
"Asian ","* ","* ","* ","* ","* ","*","0151011","201415"
"Black or African American ","140 ","39.5 ","140 ","28.3 ","65 ","33.5","0151011","201415"
"Hispanic or Latino ","346 ","38.7 ","350 ","30.8 ","130 ","31.1","0151011","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151011","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0151011","201415"
"White ","23 ","40.2 ","23 ","28.8 ","15 ","*","0151011","201415"
"English Language Learners ","160 ","32.5 ","162 ","26.9 ","75 ","26.6","0151011","201415"
"Non-English Language Learners ","353 ","42.0 ","355 ","31.5 ","138 ","35.1","0151011","201415"
"Eligible for Free or Reduced-Price Meals ","513 ","39.1 ","517 ","30.1 ","213 ","32.1","0151011","201415"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151011","201415"
"Students with Disabilities ","94 ","31.0 ","95 ","22.3 ","41 ","25.8","0151011","201415"
"Students without Disabilities ","419 ","40.9 ","422 ","31.8 ","172 ","33.7","0151011","201415"
"High Needs ","513 ","39.1 ","517 ","30.1 ","213 ","32.1","0151011","201415"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151011","201415"
"School ","513 ","39.1 ","517 ","30.1 ","213 ","32.1","0151011","201415"
"Asian ","* ","* ","* ","* ","0 ","N/A","0151011","201516"
"Black or African American ","128 ","40.4 ","128 ","30.7 ","40 ","29.5","0151011","201516"
"Hispanic or Latino ","392 ","37.9 ","391 ","30.5 ","133 ","30.6","0151011","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151011","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0151011","201516"
"White ","19 ","* ","19 ","* ","* ","*","0151011","201516"
"English Language Learners ","209 ","33.0 ","209 ","26.9 ","70 ","25.1","0151011","201516"
"Non-English Language Learners ","334 ","41.9 ","333 ","32.9 ","109 ","33.4","0151011","201516"
"Eligible for Free or Reduced-Price Meals ","543 ","38.5 ","542 ","30.6 ","179 ","30.2","0151011","201516"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151011","201516"
"Students with Disabilities ","101 ","28.2 ","100 ","21.8 ","39 ","23.9","0151011","201516"
"Students without Disabilities ","442 ","40.8 ","442 ","32.5 ","140 ","31.9","0151011","201516"
"High Needs ","543 ","38.5 ","542 ","30.6 ","179 ","30.2","0151011","201516"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151011","201516"
"School ","543 ","38.5 ","542 ","30.6 ","179 ","30.2","0151011","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151111","201415"
"Asian ","0 ","* ","0 ","* ","0 ","*","0151111","201415"
"Black or African American ","55 ","52.0 ","55 ","44.5 ","18 ","*","0151111","201415"
"Hispanic or Latino ","47 ","56.7 ","48 ","49.1 ","14 ","*","0151111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151111","201415"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151111","201415"
"White ","8 ","* ","8 ","* ","0 ","*","0151111","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","0151111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0151111","201415"
"Eligible for Free or Reduced-Price Meals ","110 ","54.4 ","111 ","46.7 ","32 ","39.7","0151111","201415"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151111","201415"
"Students with Disabilities ","16 ","* ","16 ","* ","* ","*","0151111","201415"
"Students without Disabilities ","94 ","56.2 ","95 ","49.3 ","* ","*","0151111","201415"
"High Needs ","110 ","54.4 ","111 ","46.7 ","32 ","39.7","0151111","201415"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151111","201415"
"School ","110 ","54.4 ","111 ","46.7 ","32 ","39.7","0151111","201415"
"Asian ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151111","201516"
"Black or African American ","65 ","53.3 ","65 ","46.4 ","14 ","*","0151111","201516"
"Hispanic or Latino ","54 ","55.4 ","54 ","50.6 ","* ","*","0151111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151111","201516"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151111","201516"
"White ","7 ","* ","7 ","* ","* ","*","0151111","201516"
"English Language Learners ","* ","* ","* ","* ","0 ","N/A","0151111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","27 ","46.1","0151111","201516"
"Eligible for Free or Reduced-Price Meals ","126 ","53.8 ","126 ","48.1 ","27 ","46.1","0151111","201516"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151111","201516"
"Students with Disabilities ","24 ","40.4 ","24 ","33.5 ","* ","*","0151111","201516"
"Students without Disabilities ","102 ","56.9 ","102 ","51.5 ","* ","*","0151111","201516"
"High Needs ","126 ","53.8 ","126 ","48.1 ","27 ","46.1","0151111","201516"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151111","201516"
"School ","126 ","53.8 ","126 ","48.1 ","27 ","46.1","0151111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151211","201415"
"Asian ","* ","* ","* ","* ","* ","*","0151211","201415"
"Black or African American ","75 ","54.5 ","75 ","42.1 ","16 ","*","0151211","201415"
"Hispanic or Latino ","46 ","56.4 ","45 ","51.5 ","13 ","*","0151211","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","*","0151211","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0151211","201415"
"White ","12 ","* ","12 ","* ","* ","*","0151211","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","0151211","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0151211","201415"
"Eligible for Free or Reduced-Price Meals ","137 ","55.6 ","136 ","46.1 ","33 ","43.5","0151211","201415"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151211","201415"
"Students with Disabilities ","24 ","46.1 ","24 ","37.3 ","* ","*","0151211","201415"
"Students without Disabilities ","113 ","57.6 ","112 ","48.0 ","* ","*","0151211","201415"
"High Needs ","137 ","55.6 ","136 ","46.1 ","33 ","43.5","0151211","201415"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151211","201415"
"School ","137 ","55.6 ","136 ","46.1 ","33 ","43.5","0151211","201415"
"Asian ","* ","* ","* ","* ","0 ","N/A","0151211","201516"
"Black or African American ","72 ","52.8 ","72 ","43.7 ","15 ","*","0151211","201516"
"Hispanic or Latino ","55 ","56.0 ","55 ","45.9 ","9 ","*","0151211","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151211","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0151211","201516"
"White ","12 ","* ","12 ","* ","* ","*","0151211","201516"
"English Language Learners ","11 ","* ","11 ","* ","* ","*","0151211","201516"
"Non-English Language Learners ","131 ","53.9 ","131 ","44.0 ","* ","*","0151211","201516"
"Eligible for Free or Reduced-Price Meals ","142 ","54.1 ","142 ","44.0 ","27 ","39.9","0151211","201516"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151211","201516"
"Students with Disabilities ","36 ","44.1 ","36 ","33.9 ","7 ","*","0151211","201516"
"Students without Disabilities ","106 ","57.5 ","106 ","47.5 ","20 ","44.6","0151211","201516"
"High Needs ","142 ","54.1 ","142 ","44.0 ","27 ","39.9","0151211","201516"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0151211","201516"
