"FTE Staffing Report for Trend"

"",,,,"Year",,,,
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,7.0,6.0,6.0,5.0
,,="Special Education - Teachers and Instructors",="Certified",2.5,2.5,2.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,1.6,1.6,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,.,1.0,1.0
,="Western CT Academy of International Studies Elementary Magnet School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.2,1.2,1.4,1.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,4.5,4.5,4.5,4.5
,,="General Education - Teachers and Instructors",="Certified",22.9,22.9,22.9,24.9,22.2
,,="Library/Media - Support Staff",="Non-Certified",0.6,0.6,0.6,0.6,0.6
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.2,5.7,5.7,6.7,6.7
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.6,1.8,1.8,0.8,1.0
,,="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.5
,,="Instructional Specialists Who Support Teachers",="Certified",1.4,1.4,1.3,1.4,2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="DPS Early Childhood Center",="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,0.0,0.0
,,="Library/Media - Support Staff",="Non-Certified",.,.,.,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,3.5,3.5
,,="School Nurses",="Non-Certified",.,.,.,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,17.0,19.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,.,4.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,3.2,3.6
,="Other",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,9.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,1.0
,,="General Education - Teachers and Instructors",="Certified",.,.,.,.,3.8
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,.,0.5
,,="Special Education - Teachers and Instructors",="Certified",.,.,.,.,4.2
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,3.9
,="Westside Middle School Academy",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,1.3
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,.,1.0
,,="General Education - Teachers and Instructors",="Certified",.,.,.,.,26.7
,,="Library/Media - Support Staff",="Non-Certified",.,.,.,.,0.8
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",.,.,.,.,4.0
,,="School Nurses",="Non-Certified",.,.,.,.,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",.,.,.,.,4.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.5
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,2.5
,,="Library/Media - Specialists (Certified)",="Certified",.,.,.,.,1.0
="Darien School District",="Darien High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.6,6.7,7.3,6.8,6.3
,,="Counselors  Social Workers  and School Psychologists",="Certified",9.2,10.2,10.7,10.7,11.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.2,1.2,0.0,10.2,3.0
,,="General Education - Teachers and Instructors",="Certified",99.8,102.4,101.4,100.6,103.2
,,="Library/Media - Support Staff",="Non-Certified",2.7,2.7,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",33.5,31.5,31.5,33.3,37.0
,,="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,3.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,8.0,0.0,0.0,10.0
,,="Special Education - Teachers and Instructors",="Certified",13.3,11.5,12.5,11.7,6.5
,,="Instructional Specialists Who Support Teachers",="Certified",3.4,3.2,4.2,3.1,3.5
,,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
,="Hindley Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.5,5.0,4.8,4.6,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.5,1.7,1.2,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.9,13.9,14.0,8.2,8.0
,,="General Education - Teachers and Instructors",="Certified",30.5,29.2,30.1,31.2,34.5
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.8,2.8,2.8,3.8,3.8
,,="School Nurses",="Non-Certified",1.5,1.5,1.5,1.5,1.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,6.0,10.0
,,="Special Education - Teachers and Instructors",="Certified",6.2,7.1,9.1,8.7,6.2
,,="Instructional Specialists Who Support Teachers",="Certified",4.2,3.2,3.1,2.1,3.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Holmes Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,4.5,4.3,4.6,3.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.2,1.3,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.6,5.6,6.0,7.0,6.0
,,="General Education - Teachers and Instructors",="Certified",25.7,23.8,26.8,28.9,29.2
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.8,5.8,5.8,6.8,6.8
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,8.0,8.0,6.0,8.0
,,="Special Education - Teachers and Instructors",="Certified",7.0,5.1,6.1,5.2,5.4
,,="Instructional Specialists Who Support Teachers",="Certified",3.2,3.3,2.2,3.2,5.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Middlesex Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.5,4.0,3.3,3.9,4.1
,,="Counselors  Social Workers  and School Psychologists",="Certified",8.0,8.0,8.5,8.5,9.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,2.0,3.0
,,="General Education - Teachers and Instructors",="Certified",88.7,93.3,88.0,90.3,93.1
,,="Library/Media - Support Staff",="Non-Certified",1.8,2.0,2.0,2.0,2.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",19.8,19.5,19.5,20.5,20.5
,,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,10.0,9.0,12.0,14.5
,,="Special Education - Teachers and Instructors",="Certified",16.3,18.4,16.4,16.2,14.4
,,="Instructional Specialists Who Support Teachers",="Certified",4.9,4.3,3.2,3.4,4.9
,,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
,="Ox Ridge Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,4.5,4.3,4.6,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.2,1.2,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.4,0.4,0.4,9.5,5.5
,,="General Education - Teachers and Instructors",="Certified",28.1,27.2,29.4,28.1,32.2
,,="Library/Media - Support Staff",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.8,2.8,2.8,3.8,3.8
,,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0,17.0,16.0,8.0,16.0
,,="Special Education - Teachers and Instructors",="Certified",9.3,8.4,10.4,9.2,9.4
,,="Instructional Specialists Who Support Teachers",="Certified",3.5,4.2,3.2,3.1,4.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Royle Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,3.5,4.3,5.1,2.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.2,1.4,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,5.4,5.4,13.3,4.5
,,="General Education - Teachers and Instructors",="Certified",25.6,25.9,26.9,26.0,28.3
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.3,6.3,6.3,7.3,7.3
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.3,0.0,0.0,10.0,16.5
,,="Special Education - Teachers and Instructors",="Certified",3.8,4.9,5.1,6.8,9.0
,,="Instructional Specialists Who Support Teachers",="Certified",3.6,1.7,1.1,2.7,3.2
,,="Library/Media - Specialists (Certified)",="Certified",1.0,.,1.0,1.0,1.0
,="Tokeneke Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.5,4.5,4.8,5.1,1.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.5,1.7,2.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.4,5.3,5.4,12.0,5.0
,,="General Education - Teachers and Instructors",="Certified",24.2,24.5,26.6,26.8,29.9
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.3,5.8,5.8,6.8,6.8
,,="School Nurses",="Non-Certified",1.5,1.5,1.5,1.5,1.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,7.0,6.0,16.0,15.0
,,="Special Education - Teachers and Instructors",="Certified",5.8,7.9,8.7,8.0,9.8
,,="Instructional Specialists Who Support Teachers",="Certified",4.8,3.6,3.7,3.1,4.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Deep River School District",="Deep River Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.4,1.4,1.4,1.5,1.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.9,7.1,5.8,5.8,6.8
,,="General Education - Teachers and Instructors",="Certified",26.6,26.6,26.6,26.8,25.2
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.4,8.1,8.5,8.5,8.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5,9.5,12.1,12.1,11.0
,,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.3
,,="Instructional Specialists Who Support Teachers",="Certified",2.0,1.0,1.0,1.0,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Derby School District",="Bradley School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.2,1.2,1.2,1.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.5,4.0,4.7,4.0,2.8
,,="General Education - Teachers and Instructors",="Certified",21.3,20.8,20.7,19.6,21.6
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.8,6.1,6.1,6.5,7.2
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,12.0,12.0,17.0,15.0
,,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.0,4.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.2,2.2,2.0
,="Derby High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.2,2.2,2.2,2.2,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,2.0,3.0,3.5,4.3
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",27.2,25.7,23.7,24.5,24.7
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.3,11.3,11.3,11.9,12.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.0,6.0,7.0,7.0
,,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.6,3.6
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,0.1,0.1,0.2
,,="Library/Media - Specialists (Certified)",="Certified",.,.,1.0,1.0,.
,"Derby Middle School","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0,2.0,2.0,2.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.3,2.3
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,1.4,1.0,1.0,1.0
,,="General Education - Teachers and Instructors",="Certified",15.6,17.2,17.8,19.0,21.2
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.6,6.6,7.6,8.4,7.3
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,4.0,5.0,6.0,6.0
,,="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,3.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,0.3,0.3,0.8
,,="Library/Media - Specialists (Certified)",="Certified",.,.,.,.,1.0
,="Irving School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.5,2.8,2.8,3.0,1.3
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.5,2.5,2.8,4.8,5.3
,,="General Education - Teachers and Instructors",="Certified",25.3,21.8,24.0,23.8,24.8
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.6,0.8
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.1,6.3,6.4,6.6,8.1
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0,14.0,14.0,18.0,20.0
,,="Special Education - Teachers and Instructors",="Certified",4.0,5.0,5.0,5.0,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,1.4,1.4,.
,"Other","General Education - Teachers and Instructors","Certified",.,.,.,.,1.0
="East Granby School District",="Allgrove School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.3,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",0.7,0.8,0.8,0.8,0.8
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.4,7.4,4.6,3.0,3.0
,,="General Education - Teachers and Instructors",="Certified",13.8,13.8,12.9,11.3,11.6
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.4,4.4,3.9,3.2,3.2
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.5,12.5,13.5,10.0,12.5
,,="Special Education - Teachers and Instructors",="Certified",1.5,1.5,1.5,2.5,2.8
,,="Instructional Specialists Who Support Teachers",="Certified",0.4,0.4,0.4,0.4,0.4
,,="Library/Media - Specialists (Certified)",="Certified",0.9,0.9,0.9,0.9,0.9
,="East Granby High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.3,2.5,2.5,2.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.3,2.1,2.3,2.3,1.3
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.9,1.9,1.9,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",21.9,21.3,20.6,23.1,22.2
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,1.1,0.9
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.3,5.2,5.3,4.5,4.5
,,="School Nurses",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.8,6.8,5.0,4.0,3.0
