"Chronic Absenteeism, Trend"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,,"% Chronically Absent",,,,
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Eligible For Free Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Not Eligible For Lunch","*","*","*",1.5,"*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Eligible For Free Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Not Eligible For Lunch",1.8,"*",2.5,2.5,2.1
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Eligible For Free Lunch","*",10.0,"*","*","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Not Eligible For Lunch",7.2,5.4,3.8,2.7,4.3
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Eligible For Reduced Lunch","*",0.0,"*","*","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Eligible For Free Lunch","*","*","*","*","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Not Eligible For Lunch",2.5,"*","*",2.2,"*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Eligible For Free Lunch","*",22.8,19.6,"*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Not Eligible For Lunch",7.0,8.1,8.7,8.8,4.1
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Eligible For Reduced Lunch","*",28.6,23.3,"*","*"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Eligible For Free Lunch","*","*","*","*","*"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Not Eligible For Lunch",4.8,4.2,"*","*","*"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Eligible For Free Lunch","*","*","*","*","*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Not Eligible For Lunch","*",3.4,4.8,2.9,"*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Eligible For Free Lunch","*","*","*","*","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Not Eligible For Lunch",4.1,3.8,3.7,"*",3.0
"Farmington School District","=""0520011""","Union School","=""0520111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Eligible For Free Lunch","*","*","*","*","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Not Eligible For Lunch","*","*","*","*","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Eligible For Free Lunch","*","*","*","*","*"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Not Eligible For Lunch",2.9,3.7,4.1,"*",2.5
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Eligible For Reduced Lunch","*","*","*","*","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Eligible For Free Lunch","*","*","*","*","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Not Eligible For Lunch","*",7.6,"*","*","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","Eligible For Free Lunch","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","Not Eligible For Lunch","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Eligible For Free Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Not Eligible For Lunch","*",1.7,"*","*","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Eligible For Free Lunch","*","*","N/A","*","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Not Eligible For Lunch",2.1,"*","*","*","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Eligible For Free Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Not Eligible For Lunch",2.1,1.7,"*","*","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Eligible For Reduced Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Eligible For Free Lunch","*","*","*",12.2,"*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Not Eligible For Lunch",3.7,3.9,3.8,3.1,2.9
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Eligible For Reduced Lunch","*","*","*",14.6,"*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Eligible For Free Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Not Eligible For Lunch","*",2.4,"*","*","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Eligible For Free Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Not Eligible For Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Eligible For Reduced Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","Eligible For Free Lunch","N/A","N/A","*","N/A","N/A"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","Not Eligible For Lunch","N/A","N/A","*","N/A","N/A"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","Eligible For Reduced Lunch","N/A","N/A","*","N/A","N/A"
"Glastonbury School District","=""0540011""","LINKS Transition","=""0541411""","Not Eligible For Lunch","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Not Eligible For Lunch","N/A","N/A","N/A","*",45.0
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Glastonbury School District","=""0540011""","Links Transition","=""0541411""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Glastonbury School District","=""0540011""","Links Transition","=""0541411""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Eligible For Free Lunch",16.1,"*","*","*","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Not Eligible For Lunch","*",3.8,"*","*","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Eligible For Reduced Lunch","*","*",0.0,0.0,"*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Eligible For Free Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Not Eligible For Lunch",2.4,3.2,"*","*","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Eligible For Reduced Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""","Eligible For Free Lunch","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""","Not Eligible For Lunch","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","=""0540011""","PRIDE-Nayaug","=""0541211""","Not Eligible For Lunch","N/A","N/A","N/A","*","N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Eligible For Free Lunch","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Not Eligible For Lunch",3.2,"*",1.4,1.5,1.4
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Eligible For Reduced Lunch","*",0.0,"*","*","*"
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Eligible For Free Lunch","*","*","*","*","*"
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Not Eligible For Lunch",4.6,5.0,"*",4.0,3.8
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Eligible For Free Lunch","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Not Eligible For Lunch",3.5,2.4,4.6,4.2,4.5
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Eligible For Free Lunch","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Not Eligible For Lunch",6.2,6.2,"*",2.1,3.2
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Eligible For Free Lunch","*","*","*","*","N/A"
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Not Eligible For Lunch","*","*","*","*","N/A"
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Eligible For Reduced Lunch","*","*","*","*","N/A"
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Eligible For Free Lunch","*","*","*","*","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Not Eligible For Lunch",2.2,3.0,2.8,"*","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","Eligible For Free Lunch","N/A","N/A","N/A",24.7,17.2
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Eligible For Free Lunch","N/A","N/A","N/A",74.2,"N/A"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Not Eligible For Lunch","N/A","N/A","N/A","*","N/A"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","N/A"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","Eligible For Free Lunch","*","*","*","*","*"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","Not Eligible For Lunch",6.8,7.3,3.7,"*","*"
